Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Psalms 40,17,408,24.0,2m 43s,2m 2s,1m 37s
Psalms 41,13,248,19.1,1m 39s,1m 14s,0m 59s
Psalms 42,11,290,26.4,1m 56s,1m 27s,1m 9s
Psalms 43,5,130,26.0,0m 52s,0m 39s,0m 31s
Psalms 44,26,461,17.7,3m 4s,2m 18s,1m 50s
Psalms 45,17,343,20.2,2m 17s,1m 42s,1m 22s
Psalms 46,11,217,19.7,1m 26s,1m 5s,0m 52s
Psalms 47,9,154,17.1,1m 1s,0m 46s,0m 36s
Psalms 48,14,238,17.0,1m 35s,1m 11s,0m 57s
Psalms 49,20,348,17.4,2m 19s,1m 44s,1m 23s
Psalms 50,23,404,17.6,2m 41s,2m 1s,1m 36s
Psalms 51,19,344,18.1,2m 17s,1m 43s,1m 22s
Psalms 52,9,194,21.6,1m 17s,0m 58s,0m 46s
Psalms 53,6,163,27.2,1m 5s,0m 48s,0m 39s
Psalms 54,7,136,19.4,0m 54s,0m 40s,0m 32s
Psalms 55,23,446,19.4,2m 58s,2m 13s,1m 47s
Psalms 56,13,241,18.5,1m 36s,1m 12s,0m 57s
Psalms 57,11,246,22.4,1m 38s,1m 13s,0m 59s
Psalms 58,11,226,20.5,1m 30s,1m 7s,0m 54s
Psalms 59,17,358,21.1,2m 23s,1m 47s,1m 25s
Psalms 60,12,244,20.3,1m 37s,1m 13s,0m 58s
Psalms 61,8,143,17.9,0m 57s,0m 42s,0m 34s
Psalms 62,12,238,19.8,1m 35s,1m 11s,0m 57s
Psalms 63,11,206,18.7,1m 22s,1m 1s,0m 49s
Psalms 64,10,192,19.2,1m 16s,0m 57s,0m 46s
Psalms 65,13,277,21.3,1m 50s,1m 23s,1m 6s
Psalms 66,20,335,16.8,2m 14s,1m 40s,1m 20s
Psalms 67,7,121,17.3,0m 48s,0m 36s,0m 29s
Psalms 68,35,708,20.2,4m 43s,3m 32s,2m 49s
Psalms 69,36,680,18.9,4m 32s,3m 24s,2m 43s
Psalms 70,5,114,22.8,0m 45s,0m 34s,0m 27s
Psalms 71,24,471,19.6,3m 8s,2m 21s,1m 53s
Psalms 72,20,373,18.6,2m 29s,1m 51s,1m 29s
Psalms 73,28,427,15.2,2m 50s,2m 8s,1m 42s
Psalms 74,23,416,18.1,2m 46s,2m 4s,1m 39s
Psalms 75,10,200,20.0,1m 20s,1m 0s,0m 48s
Psalms 76,12,205,17.1,1m 22s,1m 1s,0m 49s
Psalms 77,20,340,17.0,2m 16s,1m 42s,1m 21s
Psalms 78,72,1228,17.1,8m 11s,6m 8s,4m 54s
Psalms 79,13,281,21.6,1m 52s,1m 24s,1m 7s
Psalms 80,19,344,18.1,2m 17s,1m 43s,1m 22s
Psalms 81,16,298,18.6,1m 59s,1m 29s,1m 11s
Psalms 82,8,120,15.0,0m 48s,0m 36s,0m 28s
Psalms 83,18,279,15.5,1m 51s,1m 23s,1m 6s
Psalms 84,12,239,19.9,1m 35s,1m 11s,0m 57s
Psalms 85,13,218,16.8,1m 27s,1m 5s,0m 52s
Psalms 86,17,316,18.6,2m 6s,1m 34s,1m 15s
Psalms 87,7,122,17.4,0m 48s,0m 36s,0m 29s
Psalms 88,18,317,17.6,2m 6s,1m 35s,1m 16s
Psalms 89,52,884,17.0,5m 53s,4m 25s,3m 32s
Psalms 90,17,328,19.3,2m 11s,1m 38s,1m 18s
Psalms 91,16,288,18.0,1m 55s,1m 26s,1m 9s
Psalms 92,15,266,17.7,1m 46s,1m 19s,1m 3s
Psalms 93,5,92,18.4,0m 36s,0m 27s,0m 22s
Psalms 94,23,356,15.5,2m 22s,1m 46s,1m 25s
Psalms 95,11,199,18.1,1m 19s,0m 59s,0m 47s
Psalms 96,13,226,17.4,1m 30s,1m 7s,0m 54s
Psalms 97,12,189,15.8,1m 15s,0m 56s,0m 45s
Psalms 98,9,172,19.1,1m 8s,0m 51s,0m 41s
Psalms 99,9,157,17.4,1m 2s,0m 47s,0m 37s
Psalms 100,5,90,18.0,0m 36s,0m 27s,0m 21s
Psalms 101,8,177,22.1,1m 10s,0m 53s,0m 42s
Psalms 102,28,472,16.9,3m 8s,2m 21s,1m 53s
Psalms 103,22,346,15.7,2m 18s,1m 43s,1m 23s
Psalms 104,35,598,17.1,3m 59s,2m 59s,2m 23s
Psalms 105,45,632,14.0,4m 12s,3m 9s,2m 31s
Psalms 106,48,762,15.9,5m 4s,3m 48s,3m 2s
Psalms 107,43,685,15.9,4m 34s,3m 25s,2m 44s
Psalms 108,13,212,16.3,1m 24s,1m 3s,0m 50s
Psalms 109,31,542,17.5,3m 36s,2m 42s,2m 10s
Psalms 110,7,146,20.9,0m 58s,0m 43s,0m 35s
Psalms 111,10,177,17.7,1m 10s,0m 53s,0m 42s
Psalms 112,10,172,17.2,1m 8s,0m 51s,0m 41s
Psalms 113,9,142,15.8,0m 56s,0m 42s,0m 34s
Psalms 114,8,106,13.2,0m 42s,0m 31s,0m 25s
Psalms 115,18,274,15.2,1m 49s,1m 22s,1m 5s
Psalms 116,19,287,15.1,1m 54s,1m 26s,1m 8s
Psalms 117,2,33,16.5,0m 13s,0m 9s,0m 7s
Psalms 118,29,465,16.0,3m 6s,2m 19s,1m 51s
Psalms 119,176,2445,13.9,16m 18s,12m 13s,9m 46s
Psalms 120,7,92,13.1,0m 36s,0m 27s,0m 22s
Psalms 121,8,114,14.2,0m 45s,0m 34s,0m 27s
Psalms 122,9,130,14.4,0m 52s,0m 39s,0m 31s
Psalms 123,4,98,24.5,0m 39s,0m 29s,0m 23s
Psalms 124,8,127,15.9,0m 50s,0m 38s,0m 30s
Psalms 125,5,112,22.4,0m 44s,0m 33s,0m 26s
Psalms 126,6,98,16.3,0m 39s,0m 29s,0m 23s
Psalms 127,5,116,23.2,0m 46s,0m 34s,0m 27s
Psalms 128,6,105,17.5,0m 42s,0m 31s,0m 25s
Psalms 129,8,123,15.4,0m 49s,0m 36s,0m 29s
Psalms 130,8,120,15.0,0m 48s,0m 36s,0m 28s
Psalms 131,3,66,22.0,0m 26s,0m 19s,0m 15s
Psalms 132,18,280,15.6,1m 52s,1m 24s,1m 7s
Psalms 133,3,75,25.0,0m 30s,0m 22s,0m 18s
Psalms 134,3,48,16.0,0m 19s,0m 14s,0m 11s
Psalms 135,21,329,15.7,2m 11s,1m 38s,1m 18s
Psalms 136,26,353,13.6,2m 21s,1m 45s,1m 24s
Psalms 137,9,165,18.3,1m 6s,0m 49s,0m 39s
Psalms 138,8,176,22.0,1m 10s,0m 52s,0m 42s
Psalms 139,24,418,17.4,2m 47s,2m 5s,1m 40s
Psalms 140,13,247,19.0,1m 38s,1m 14s,0m 59s
Psalms 141,10,207,20.7,1m 22s,1m 2s,0m 49s
Psalms 142,7,162,23.1,1m 4s,0m 48s,0m 38s
Psalms 143,12,256,21.3,1m 42s,1m 16s,1m 1s
Psalms 144,15,306,20.4,2m 2s,1m 31s,1m 13s
Psalms 145,21,335,16.0,2m 14s,1m 40s,1m 20s
Psalms 146,10,178,17.8,1m 11s,0m 53s,0m 42s
Psalms 147,20,299,15.0,1m 59s,1m 29s,1m 11s
Psalms 148,14,202,14.4,1m 20s,1m 0s,0m 48s
Psalms 149,9,143,15.9,0m 57s,0m 42s,0m 34s
Psalms 150,6,85,14.2,0m 34s,0m 25s,0m 20s
Proverbs 1,33,519,15.7,3m 27s,2m 35s,2m 4s
Proverbs 2,22,309,14.0,2m 3s,1m 32s,1m 14s
Proverbs 3,35,541,15.5,3m 36s,2m 42s,2m 9s
Proverbs 4,27,418,15.5,2m 47s,2m 5s,1m 40s
Proverbs 5,23,354,15.4,2m 21s,1m 46s,1m 24s
Proverbs 6,35,546,15.6,3m 38s,2m 43s,2m 11s
Proverbs 7,27,411,15.2,2m 44s,2m 3s,1m 38s
Proverbs 8,36,562,15.6,3m 44s,2m 48s,2m 14s
Proverbs 9,18,288,16.0,1m 55s,1m 26s,1m 9s
Proverbs 10,32,527,16.5,3m 30s,2m 38s,2m 6s
Proverbs 11,31,524,16.9,3m 29s,2m 37s,2m 5s
Proverbs 12,28,476,17.0,3m 10s,2m 22s,1m 54s
Proverbs 13,25,400,16.0,2m 40s,2m 0s,1m 36s
Proverbs 14,35,572,16.3,3m 48s,2m 51s,2m 17s
Proverbs 15,33,544,16.5,3m 37s,2m 43s,2m 10s
Proverbs 16,33,543,16.5,3m 37s,2m 42s,2m 10s
Proverbs 17,28,476,17.0,3m 10s,2m 22s,1m 54s
Proverbs 18,24,381,15.9,2m 32s,1m 54s,1m 31s
