Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
2 Chronicles 34,33,1175,35.6,7m 50s,5m 52s,4m 42s
2 Chronicles 35,27,890,33.0,5m 56s,4m 27s,3m 33s
2 Chronicles 36,23,729,31.7,4m 51s,3m 38s,2m 54s
Ezra 1,11,343,31.2,2m 17s,1m 42s,1m 22s
Ezra 2,70,798,11.4,5m 19s,3m 59s,3m 11s
Ezra 3,13,525,40.4,3m 30s,2m 37s,2m 6s
Ezra 4,24,739,30.8,4m 55s,3m 41s,2m 57s
Ezra 5,17,573,33.7,3m 49s,2m 51s,2m 17s
Ezra 6,22,754,34.3,5m 1s,3m 46s,3m 0s
Ezra 7,28,833,29.8,5m 33s,4m 9s,3m 19s
Ezra 8,36,919,25.5,6m 7s,4m 35s,3m 40s
Ezra 9,15,597,39.8,3m 58s,2m 59s,2m 23s
Ezra 10,44,840,19.1,5m 36s,4m 12s,3m 21s
Nehemiah 1,11,362,32.9,2m 24s,1m 48s,1m 26s
Nehemiah 2,20,698,34.9,4m 39s,3m 29s,2m 47s
Nehemiah 3,32,829,25.9,5m 31s,4m 8s,3m 18s
Nehemiah 4,23,678,29.5,4m 31s,3m 23s,2m 42s
Nehemiah 5,19,617,32.5,4m 6s,3m 5s,2m 28s
Nehemiah 6,19,590,31.1,3m 56s,2m 57s,2m 21s
Nehemiah 7,73,958,13.1,6m 23s,4m 47s,3m 49s
Nehemiah 8,18,665,36.9,4m 26s,3m 19s,2m 39s
Nehemiah 9,38,1302,34.3,8m 40s,6m 30s,5m 12s
Nehemiah 10,39,631,16.2,4m 12s,3m 9s,2m 31s
Nehemiah 11,36,691,19.2,4m 36s,3m 27s,2m 45s
Nehemiah 12,47,906,19.3,6m 2s,4m 31s,3m 37s
Nehemiah 13,31,947,30.5,6m 18s,4m 44s,3m 47s
Esther 1,22,672,30.5,4m 28s,3m 21s,2m 41s
Esther 2,23,775,33.7,5m 10s,3m 52s,3m 6s
Esther 3,15,561,37.4,3m 44s,2m 48s,2m 14s
Esther 4,17,518,30.5,3m 27s,2m 35s,2m 4s
Esther 5,14,466,33.3,3m 6s,2m 19s,1m 51s
Esther 6,14,462,33.0,3m 4s,2m 18s,1m 50s
Esther 7,10,339,33.9,2m 15s,1m 41s,1m 21s
Esther 8,17,649,38.2,4m 19s,3m 14s,2m 35s
Esther 9,32,945,29.5,6m 18s,4m 43s,3m 46s
Esther 10,3,97,32.3,0m 38s,0m 29s,0m 23s
Job 1,22,629,28.6,4m 11s,3m 8s,2m 30s
Job 2,13,382,29.4,2m 32s,1m 54s,1m 31s
Job 3,26,404,15.5,2m 41s,2m 1s,1m 36s
Job 4,21,329,15.7,2m 11s,1m 38s,1m 18s
Job 5,27,426,15.8,2m 50s,2m 7s,1m 42s
Job 6,30,444,14.8,2m 57s,2m 13s,1m 46s
Job 7,21,371,17.7,2m 28s,1m 51s,1m 29s
Job 8,22,327,14.9,2m 10s,1m 38s,1m 18s
Job 9,35,539,15.4,3m 35s,2m 41s,2m 9s
Job 10,22,370,16.8,2m 28s,1m 51s,1m 28s
Job 11,20,319,16.0,2m 7s,1m 35s,1m 16s
Job 12,25,383,15.3,2m 33s,1m 54s,1m 31s
Job 13,28,398,14.2,2m 39s,1m 59s,1m 35s
Job 14,22,403,18.3,2m 41s,2m 0s,1m 36s
Job 15,35,547,15.6,3m 38s,2m 44s,2m 11s
Job 16,22,374,17.0,2m 29s,1m 52s,1m 29s
Job 17,16,250,15.6,1m 40s,1m 15s,1m 0s
Job 18,21,306,14.6,2m 2s,1m 31s,1m 13s
Job 19,29,477,16.4,3m 10s,2m 23s,1m 54s
Job 20,29,489,16.9,3m 15s,2m 26s,1m 57s
Job 21,34,512,15.1,3m 24s,2m 33s,2m 2s
Job 22,30,460,15.3,3m 4s,2m 18s,1m 50s
Job 23,17,280,16.5,1m 52s,1m 24s,1m 7s
Job 24,25,465,18.6,3m 6s,2m 19s,1m 51s
Job 25,6,87,14.5,0m 34s,0m 26s,0m 20s
Job 26,14,202,14.4,1m 20s,1m 0s,0m 48s
Job 27,23,370,16.1,2m 28s,1m 51s,1m 28s
Job 28,28,449,16.0,2m 59s,2m 14s,1m 47s
Job 29,25,400,16.0,2m 40s,2m 0s,1m 36s
Job 30,31,523,16.9,3m 29s,2m 36s,2m 5s
Job 31,40,698,17.4,4m 39s,3m 29s,2m 47s
Job 32,22,378,17.2,2m 31s,1m 53s,1m 30s
Job 33,33,527,16.0,3m 30s,2m 38s,2m 6s
Job 34,37,584,15.8,3m 53s,2m 55s,2m 20s
Job 35,16,253,15.8,1m 41s,1m 15s,1m 0s
Job 36,33,479,14.5,3m 11s,2m 23s,1m 54s
Job 37,24,389,16.2,2m 35s,1m 56s,1m 33s
Job 38,41,638,15.6,4m 15s,3m 11s,2m 33s
Job 39,30,487,16.2,3m 14s,2m 26s,1m 56s
Job 40,24,359,15.0,2m 23s,1m 47s,1m 26s
Job 41,34,494,14.5,3m 17s,2m 28s,1m 58s
Job 42,17,426,25.1,2m 50s,2m 7s,1m 42s
Psalms 1,6,124,20.7,0m 49s,0m 37s,0m 29s
Psalms 2,12,193,16.1,1m 17s,0m 57s,0m 46s
Psalms 3,8,126,15.8,0m 50s,0m 37s,0m 30s
Psalms 4,8,157,19.6,1m 2s,0m 47s,0m 37s
Psalms 5,12,235,19.6,1m 34s,1m 10s,0m 56s
Psalms 6,10,161,16.1,1m 4s,0m 48s,0m 38s
Psalms 7,17,307,18.1,2m 2s,1m 32s,1m 13s
Psalms 8,9,166,18.4,1m 6s,0m 49s,0m 39s
Psalms 9,20,354,17.7,2m 21s,1m 46s,1m 24s
Psalms 10,18,348,19.3,2m 19s,1m 44s,1m 23s
Psalms 11,7,131,18.7,0m 52s,0m 39s,0m 31s
Psalms 12,8,144,18.0,0m 57s,0m 43s,0m 34s
Psalms 13,6,109,18.2,0m 43s,0m 32s,0m 26s
Psalms 14,7,143,20.4,0m 57s,0m 42s,0m 34s
Psalms 15,5,105,21.0,0m 42s,0m 31s,0m 25s
Psalms 16,11,191,17.4,1m 16s,0m 57s,0m 45s
Psalms 17,15,279,18.6,1m 51s,1m 23s,1m 6s
Psalms 18,50,864,17.3,5m 45s,4m 19s,3m 27s
Psalms 19,14,265,18.9,1m 46s,1m 19s,1m 3s
Psalms 20,9,152,16.9,1m 0s,0m 45s,0m 36s
Psalms 21,13,222,17.1,1m 28s,1m 6s,0m 53s
Psalms 22,31,557,18.0,3m 42s,2m 47s,2m 13s
Psalms 23,6,113,18.8,0m 45s,0m 33s,0m 27s
Psalms 24,10,180,18.0,1m 12s,0m 54s,0m 43s
Psalms 25,22,346,15.7,2m 18s,1m 43s,1m 23s
Psalms 26,12,173,14.4,1m 9s,0m 51s,0m 41s
Psalms 27,14,328,23.4,2m 11s,1m 38s,1m 18s
Psalms 28,9,213,23.7,1m 25s,1m 3s,0m 51s
Psalms 29,11,173,15.7,1m 9s,0m 51s,0m 41s
Psalms 30,12,227,18.9,1m 30s,1m 8s,0m 54s
Psalms 31,24,503,21.0,3m 21s,2m 30s,2m 0s
Psalms 32,11,233,21.2,1m 33s,1m 9s,0m 55s
Psalms 33,22,348,15.8,2m 19s,1m 44s,1m 23s
Psalms 34,22,334,15.2,2m 13s,1m 40s,1m 20s
Psalms 35,28,527,18.8,3m 30s,2m 38s,2m 6s
Psalms 36,12,213,17.8,1m 25s,1m 3s,0m 51s
Psalms 37,40,662,16.6,4m 24s,3m 18s,2m 38s
Psalms 38,22,342,15.5,2m 16s,1m 42s,1m 22s
Psalms 39,13,275,21.2,1m 50s,1m 22s,1m 6s
Psalms 40,17,402,23.6,2m 40s,2m 0s,1m 36s
Psalms 41,13,235,18.1,1m 34s,1m 10s,0m 56s
Psalms 42,11,266,24.2,1m 46s,1m 19s,1m 3s
Psalms 43,5,127,25.4,0m 50s,0m 38s,0m 30s
Psalms 44,26,444,17.1,2m 57s,2m 13s,1m 46s
Psalms 45,17,306,18.0,2m 2s,1m 31s,1m 13s
Psalms 46,11,189,17.2,1m 15s,0m 56s,0m 45s
Psalms 47,9,134,14.9,0m 53s,0m 40s,0m 32s
Psalms 48,14,218,15.6,1m 27s,1m 5s,0m 52s
Psalms 49,20,328,16.4,2m 11s,1m 38s,1m 18s
Psalms 50,23,378,16.4,2m 31s,1m 53s,1m 30s
Psalms 51,19,316,16.6,2m 6s,1m 34s,1m 15s
Psalms 52,9,168,18.7,1m 7s,0m 50s,0m 40s
Psalms 53,6,142,23.7,0m 56s,0m 42s,0m 34s
Psalms 54,7,114,16.3,0m 45s,0m 34s,0m 27s
Psalms 55,23,415,18.0,2m 46s,2m 4s,1m 39s
Psalms 56,13,215,16.5,1m 26s,1m 4s,0m 51s
Psalms 57,11,227,20.6,1m 30s,1m 8s,0m 54s
Psalms 58,11,190,17.3,1m 16s,0m 57s,0m 45s
Psalms 59,17,336,19.8,2m 14s,1m 40s,1m 20s
Psalms 60,12,200,16.7,1m 20s,1m 0s,0m 48s
Psalms 61,8,130,16.2,0m 52s,0m 39s,0m 31s
Psalms 62,12,222,18.5,1m 28s,1m 6s,0m 53s
Psalms 63,11,200,18.2,1m 20s,1m 0s,0m 48s
Psalms 64,10,163,16.3,1m 5s,0m 48s,0m 39s
Psalms 65,13,244,18.8,1m 37s,1m 13s,0m 58s
Psalms 66,20,332,16.6,2m 12s,1m 39s,1m 19s
Psalms 67,7,106,15.1,0m 42s,0m 31s,0m 25s
Psalms 68,35,646,18.5,4m 18s,3m 13s,2m 35s
Psalms 69,36,661,18.4,4m 24s,3m 18s,2m 38s
Psalms 70,5,97,19.4,0m 38s,0m 29s,0m 23s
Psalms 71,24,464,19.3,3m 5s,2m 19s,1m 51s
Psalms 72,20,352,17.6,2m 20s,1m 45s,1m 24s
Psalms 73,28,404,14.4,2m 41s,2m 1s,1m 36s
Psalms 74,23,406,17.7,2m 42s,2m 1s,1m 37s
Psalms 75,10,182,18.2,1m 12s,0m 54s,0m 43s
Psalms 76,12,191,15.9,1m 16s,0m 57s,0m 45s
Psalms 77,20,314,15.7,2m 5s,1m 34s,1m 15s
Psalms 78,72,1150,16.0,7m 40s,5m 45s,4m 36s
Psalms 79,13,264,20.3,1m 45s,1m 19s,1m 3s
Psalms 80,19,317,16.7,2m 6s,1m 35s,1m 16s
Psalms 81,16,271,16.9,1m 48s,1m 21s,1m 5s
Psalms 82,8,118,14.8,0m 47s,0m 35s,0m 28s
Psalms 83,18,256,14.2,1m 42s,1m 16s,1m 1s
Psalms 84,12,224,18.7,1m 29s,1m 7s,0m 53s
Psalms 85,13,187,14.4,1m 14s,0m 56s,0m 44s
Psalms 86,17,308,18.1,2m 3s,1m 32s,1m 13s
Psalms 87,7,107,15.3,0m 42s,0m 32s,0m 25s
Psalms 88,18,300,16.7,2m 0s,1m 30s,1m 12s
Psalms 89,52,845,16.2,5m 38s,4m 13s,3m 22s
Psalms 90,17,308,18.1,2m 3s,1m 32s,1m 13s
Psalms 91,16,273,17.1,1m 49s,1m 21s,1m 5s
Psalms 92,15,233,15.5,1m 33s,1m 9s,0m 55s
Psalms 93,5,93,18.6,0m 37s,0m 27s,0m 22s
Psalms 94,23,330,14.3,2m 12s,1m 39s,1m 19s
Psalms 95,11,202,18.4,1m 20s,1m 0s,0m 48s
Psalms 96,13,225,17.3,1m 30s,1m 7s,0m 54s
Psalms 97,12,185,15.4,1m 14s,0m 55s,0m 44s
Psalms 98,9,173,19.2,1m 9s,0m 51s,0m 41s
Psalms 99,9,157,17.4,1m 2s,0m 47s,0m 37s
Psalms 100,5,81,16.2,0m 32s,0m 24s,0m 19s
Psalms 101,8,175,21.9,1m 10s,0m 52s,0m 42s
Psalms 102,28,437,15.6,2m 54s,2m 11s,1m 44s
Psalms 103,22,336,15.3,2m 14s,1m 40s,1m 20s
Psalms 104,35,580,16.6,3m 52s,2m 54s,2m 19s
Psalms 105,45,616,13.7,4m 6s,3m 4s,2m 27s
Psalms 106,48,764,15.9,5m 5s,3m 49s,3m 3s
Psalms 107,43,653,15.2,4m 21s,3m 15s,2m 36s
Psalms 108,13,201,15.5,1m 20s,1m 0s,0m 48s
Psalms 109,31,508,16.4,3m 23s,2m 32s,2m 1s
Psalms 110,7,135,19.3,0m 54s,0m 40s,0m 32s
Psalms 111,10,164,16.4,1m 5s,0m 49s,0m 39s
Psalms 112,10,162,16.2,1m 4s,0m 48s,0m 38s
Psalms 113,9,125,13.9,0m 50s,0m 37s,0m 30s
Psalms 114,8,98,12.2,0m 39s,0m 29s,0m 23s
Psalms 115,18,266,14.8,1m 46s,1m 19s,1m 3s
Psalms 116,19,279,14.7,1m 51s,1m 23s,1m 6s
Psalms 117,2,28,14.0,0m 11s,0m 8s,0m 6s
Psalms 118,29,451,15.6,3m 0s,2m 15s,1m 48s
Psalms 119,176,2362,13.4,15m 44s,11m 48s,9m 26s
Psalms 120,7,91,13.0,0m 36s,0m 27s,0m 21s
Psalms 121,8,107,13.4,0m 42s,0m 32s,0m 25s
Psalms 122,9,126,14.0,0m 50s,0m 37s,0m 30s
Psalms 123,4,96,24.0,0m 38s,0m 28s,0m 23s
Psalms 124,8,121,15.1,0m 48s,0m 36s,0m 29s
Psalms 125,5,97,19.4,0m 38s,0m 29s,0m 23s
Psalms 126,6,96,16.0,0m 38s,0m 28s,0m 23s
Psalms 127,5,108,21.6,0m 43s,0m 32s,0m 25s
Psalms 128,6,95,15.8,0m 38s,0m 28s,0m 22s
Psalms 129,8,117,14.6,0m 46s,0m 35s,0m 28s
Psalms 130,8,112,14.0,0m 44s,0m 33s,0m 26s
Psalms 131,3,65,21.7,0m 26s,0m 19s,0m 15s
Psalms 132,18,280,15.6,1m 52s,1m 24s,1m 7s
Psalms 133,3,63,21.0,0m 25s,0m 18s,0m 15s
Psalms 134,3,45,15.0,0m 18s,0m 13s,0m 10s
Psalms 135,21,319,15.2,2m 7s,1m 35s,1m 16s
Psalms 136,26,352,13.5,2m 20s,1m 45s,1m 24s
Psalms 137,9,155,17.2,1m 2s,0m 46s,0m 37s
Psalms 138,8,171,21.4,1m 8s,0m 51s,0m 41s
Psalms 139,24,400,16.7,2m 40s,2m 0s,1m 36s
Psalms 140,13,240,18.5,1m 36s,1m 12s,0m 57s
Psalms 141,10,205,20.5,1m 22s,1m 1s,0m 49s
Psalms 142,7,147,21.0,0m 58s,0m 44s,0m 35s
Psalms 143,12,245,20.4,1m 38s,1m 13s,0m 58s
Psalms 144,15,283,18.9,1m 53s,1m 24s,1m 7s
Psalms 145,21,336,16.0,2m 14s,1m 40s,1m 20s
Psalms 146,10,177,17.7,1m 10s,0m 53s,0m 42s
Psalms 147,20,292,14.6,1m 56s,1m 27s,1m 10s
Psalms 148,14,191,13.6,1m 16s,0m 57s,0m 45s
Psalms 149,9,135,15.0,0m 54s,0m 40s,0m 32s
Psalms 150,6,72,12.0,0m 28s,0m 21s,0m 17s
Proverbs 1,33,506,15.3,3m 22s,2m 31s,2m 1s
Proverbs 2,22,306,13.9,2m 2s,1m 31s,1m 13s
Proverbs 3,35,537,15.3,3m 34s,2m 41s,2m 8s
Proverbs 4,27,419,15.5,2m 47s,2m 5s,1m 40s
Proverbs 5,23,345,15.0,2m 18s,1m 43s,1m 22s
Proverbs 6,35,524,15.0,3m 29s,2m 37s,2m 5s
Proverbs 7,27,395,14.6,2m 38s,1m 58s,1m 34s
Proverbs 8,36,519,14.4,3m 27s,2m 35s,2m 4s
Proverbs 9,18,285,15.8,1m 54s,1m 25s,1m 8s
Proverbs 10,32,513,16.0,3m 25s,2m 33s,2m 3s
Proverbs 11,31,494,15.9,3m 17s,2m 28s,1m 58s
Proverbs 12,28,452,16.1,3m 0s,2m 15s,1m 48s
Proverbs 13,25,388,15.5,2m 35s,1m 56s,1m 33s
Proverbs 14,35,561,16.0,3m 44s,2m 48s,2m 14s
Proverbs 15,33,522,15.8,3m 28s,2m 36s,2m 5s
Proverbs 16,33,531,16.1,3m 32s,2m 39s,2m 7s
Proverbs 17,28,462,16.5,3m 4s,2m 18s,1m 50s
Proverbs 18,24,361,15.0,2m 24s,1m 48s,1m 26s
Proverbs 19,29,501,17.3,3m 20s,2m 30s,2m 0s
Proverbs 20,30,471,15.7,3m 8s,2m 21s,1m 53s
Proverbs 21,31,486,15.7,3m 14s,2m 25s,1m 56s
Proverbs 22,29,486,16.8,3m 14s,2m 25s,1m 56s
Proverbs 23,35,539,15.4,3m 35s,2m 41s,2m 9s
Proverbs 24,34,561,16.5,3m 44s,2m 48s,2m 14s
Proverbs 25,28,501,17.9,3m 20s,2m 30s,2m 0s
Proverbs 26,28,453,16.2,3m 1s,2m 15s,1m 48s
Proverbs 27,27,446,16.5,2m 58s,2m 13s,1m 47s
Proverbs 28,28,498,17.8,3m 19s,2m 29s,1m 59s
Proverbs 29,27,428,15.9,2m 51s,2m 8s,1m 42s
Proverbs 30,33,595,18.0,3m 58s,2m 58s,2m 22s
Proverbs 31,31,467,15.1,3m 6s,2m 20s,1m 52s
Ecclesiastes 1,18,362,20.1,2m 24s,1m 48s,1m 26s
Ecclesiastes 2,26,707,27.2,4m 42s,3m 32s,2m 49s
Ecclesiastes 3,22,499,22.7,3m 19s,2m 29s,1m 59s
Ecclesiastes 4,16,371,23.2,2m 28s,1m 51s,1m 29s
Ecclesiastes 5,20,518,25.9,3m 27s,2m 35s,2m 4s
Ecclesiastes 6,12,303,25.2,2m 1s,1m 30s,1m 12s
Ecclesiastes 7,29,612,21.1,4m 4s,3m 3s,2m 26s
Ecclesiastes 8,17,482,28.4,3m 12s,2m 24s,1m 55s
Ecclesiastes 9,18,540,30.0,3m 36s,2m 42s,2m 9s
Ecclesiastes 10,20,381,19.0,2m 32s,1m 54s,1m 31s
Ecclesiastes 11,10,260,26.0,1m 44s,1m 18s,1m 2s
Ecclesiastes 12,14,341,24.4,2m 16s,1m 42s,1m 21s
Song of Solomon 1,17,318,18.7,2m 7s,1m 35s,1m 16s
Song of Solomon 2,17,335,19.7,2m 14s,1m 40s,1m 20s
Song of Solomon 3,11,276,25.1,1m 50s,1m 22s,1m 6s
Song of Solomon 4,16,363,22.7,2m 25s,1m 48s,1m 27s
Song of Solomon 5,16,374,23.4,2m 29s,1m 52s,1m 29s
Song of Solomon 6,13,285,21.9,1m 54s,1m 25s,1m 8s
Song of Solomon 7,13,274,21.1,1m 49s,1m 22s,1m 5s
Song of Solomon 8,14,351,25.1,2m 20s,1m 45s,1m 24s
Isaiah 1,31,738,23.8,4m 55s,3m 41s,2m 57s
Isaiah 2,22,548,24.9,3m 39s,2m 44s,2m 11s
Isaiah 3,26,537,20.7,3m 34s,2m 41s,2m 8s
Isaiah 4,6,194,32.3,1m 17s,0m 58s,0m 46s
Isaiah 5,30,813,27.1,5m 25s,4m 3s,3m 15s
Isaiah 6,13,354,27.2,2m 21s,1m 46s,1m 24s
Isaiah 7,25,656,26.2,4m 22s,3m 16s,2m 37s
Isaiah 8,22,538,24.5,3m 35s,2m 41s,2m 9s
Isaiah 9,21,581,27.7,3m 52s,2m 54s,2m 19s
Isaiah 10,34,870,25.6,5m 48s,4m 21s,3m 28s
Isaiah 11,16,482,30.1,3m 12s,2m 24s,1m 55s
Isaiah 12,6,138,23.0,0m 55s,0m 41s,0m 33s
Isaiah 13,22,523,23.8,3m 29s,2m 36s,2m 5s
Isaiah 14,32,806,25.2,5m 22s,4m 1s,3m 13s
Isaiah 15,9,230,25.6,1m 32s,1m 9s,0m 55s
Isaiah 16,14,390,27.9,2m 36s,1m 57s,1m 33s
Isaiah 17,14,405,28.9,2m 42s,2m 1s,1m 37s
Isaiah 18,7,232,33.1,1m 32s,1m 9s,0m 55s
Isaiah 19,25,688,27.5,4m 35s,3m 26s,2m 45s
Isaiah 20,6,182,30.3,1m 12s,0m 54s,0m 43s
Isaiah 21,17,392,23.1,2m 36s,1m 57s,1m 34s
Isaiah 22,25,628,25.1,4m 11s,3m 8s,2m 30s
Isaiah 23,18,430,23.9,2m 52s,2m 9s,1m 43s
Isaiah 24,23,545,23.7,3m 38s,2m 43s,2m 10s
Isaiah 25,12,357,29.8,2m 22s,1m 47s,1m 25s
Isaiah 26,21,503,24.0,3m 21s,2m 30s,2m 0s
Isaiah 27,13,363,27.9,2m 25s,1m 48s,1m 27s
Isaiah 28,29,758,26.1,5m 3s,3m 47s,3m 1s
Isaiah 29,24,697,29.0,4m 38s,3m 29s,2m 47s
Isaiah 30,33,1000,30.3,6m 40s,5m 0s,4m 0s
Isaiah 31,9,301,33.4,2m 0s,1m 30s,1m 12s
Isaiah 32,20,417,20.8,2m 46s,2m 5s,1m 40s
Isaiah 33,24,554,23.1,3m 41s,2m 46s,2m 12s
Isaiah 34,17,474,27.9,3m 9s,2m 22s,1m 53s
Isaiah 35,10,274,27.4,1m 49s,1m 22s,1m 5s
Isaiah 36,22,676,30.7,4m 30s,3m 22s,2m 42s
Isaiah 37,38,1079,28.4,7m 11s,5m 23s,4m 18s
Isaiah 38,22,575,26.1,3m 50s,2m 52s,2m 18s
Isaiah 39,8,257,32.1,1m 42s,1m 17s,1m 1s
Isaiah 40,31,761,24.5,5m 4s,3m 48s,3m 2s
Isaiah 41,29,768,26.5,5m 7s,3m 50s,3m 4s
Isaiah 42,25,682,27.3,4m 32s,3m 24s,2m 43s
Isaiah 43,28,664,23.7,4m 25s,3m 19s,2m 39s
Isaiah 44,28,852,30.4,5m 40s,4m 15s,3m 24s
Isaiah 45,25,750,30.0,5m 0s,3m 45s,3m 0s
Isaiah 46,13,320,24.6,2m 8s,1m 36s,1m 16s
Isaiah 47,15,447,29.8,2m 58s,2m 14s,1m 47s
Isaiah 48,22,599,27.2,3m 59s,2m 59s,2m 23s
Isaiah 49,26,820,31.5,5m 28s,4m 5s,3m 16s
Isaiah 50,11,362,32.9,2m 24s,1m 48s,1m 26s
Isaiah 51,23,731,31.8,4m 52s,3m 39s,2m 55s
Isaiah 52,15,398,26.5,2m 39s,1m 59s,1m 35s
Isaiah 53,12,392,32.7,2m 36s,1m 57s,1m 34s
Isaiah 54,17,480,28.2,3m 12s,2m 24s,1m 55s
Isaiah 55,13,382,29.4,2m 32s,1m 54s,1m 31s
Isaiah 56,12,342,28.5,2m 16s,1m 42s,1m 22s
Isaiah 57,21,575,27.4,3m 50s,2m 52s,2m 18s
Isaiah 58,14,504,36.0,3m 21s,2m 31s,2m 0s
Isaiah 59,21,588,28.0,3m 55s,2m 56s,2m 21s
Isaiah 60,22,635,28.9,4m 14s,3m 10s,2m 32s
Isaiah 61,11,380,34.5,2m 32s,1m 54s,1m 31s
Isaiah 62,12,352,29.3,2m 20s,1m 45s,1m 24s
Isaiah 63,19,534,28.1,3m 33s,2m 40s,2m 8s
Isaiah 64,12,301,25.1,2m 0s,1m 30s,1m 12s
Isaiah 65,25,761,30.4,5m 4s,3m 48s,3m 2s
Isaiah 66,24,820,34.2,5m 28s,4m 5s,3m 16s
Jeremiah 1,19,513,27.0,3m 25s,2m 33s,2m 3s
Jeremiah 2,37,984,26.6,6m 33s,4m 55s,3m 56s
Jeremiah 3,25,757,30.3,5m 2s,3m 47s,3m 1s
Jeremiah 4,31,801,25.8,5m 20s,4m 0s,3m 12s
Jeremiah 5,31,845,27.3,5m 38s,4m 13s,3m 22s
Jeremiah 6,30,788,26.3,5m 15s,3m 56s,3m 9s
Jeremiah 7,34,958,28.2,6m 23s,4m 47s,3m 49s
Jeremiah 8,22,667,30.3,4m 26s,3m 20s,2m 40s
Jeremiah 9,26,744,28.6,4m 57s,3m 43s,2m 58s
Jeremiah 10,25,663,26.5,4m 25s,3m 18s,2m 39s
Jeremiah 11,23,692,30.1,4m 36s,3m 27s,2m 46s
Jeremiah 12,17,527,31.0,3m 30s,2m 38s,2m 6s
Jeremiah 13,27,712,26.4,4m 44s,3m 33s,2m 50s
Jeremiah 14,22,660,30.0,4m 24s,3m 18s,2m 38s
Jeremiah 15,21,656,31.2,4m 22s,3m 16s,2m 37s
Jeremiah 16,21,673,32.0,4m 29s,3m 21s,2m 41s
Jeremiah 17,27,817,30.3,5m 26s,4m 5s,3m 16s
Jeremiah 18,23,613,26.7,4m 5s,3m 3s,2m 27s
Jeremiah 19,15,536,35.7,3m 34s,2m 40s,2m 8s
Jeremiah 20,18,560,31.1,3m 44s,2m 48s,2m 14s
Jeremiah 21,14,483,34.5,3m 13s,2m 24s,1m 55s
Jeremiah 22,30,828,27.6,5m 31s,4m 8s,3m 18s
Jeremiah 23,40,1170,29.2,7m 48s,5m 51s,4m 40s
Jeremiah 24,10,335,33.5,2m 14s,1m 40s,1m 20s
Jeremiah 25,38,1053,27.7,7m 1s,5m 15s,4m 12s
Jeremiah 26,24,770,32.1,5m 8s,3m 51s,3m 4s
Jeremiah 27,22,738,33.5,4m 55s,3m 41s,2m 57s
Jeremiah 28,17,506,29.8,3m 22s,2m 31s,2m 1s
Jeremiah 29,32,929,29.0,6m 11s,4m 38s,3m 42s
Jeremiah 30,24,688,28.7,4m 35s,3m 26s,2m 45s
Jeremiah 31,40,1238,31.0,8m 15s,6m 11s,4m 57s
Jeremiah 32,44,1359,30.9,9m 3s,6m 47s,5m 26s
Jeremiah 33,26,815,31.3,5m 26s,4m 4s,3m 15s
Jeremiah 34,22,765,34.8,5m 6s,3m 49s,3m 3s
Jeremiah 35,19,620,32.6,4m 8s,3m 6s,2m 28s
Jeremiah 36,32,1042,32.6,6m 56s,5m 12s,4m 10s
Jeremiah 37,21,569,27.1,3m 47s,2m 50s,2m 16s
Jeremiah 38,28,914,32.6,6m 5s,4m 34s,3m 39s
Jeremiah 39,18,516,28.7,3m 26s,2m 34s,2m 3s
Jeremiah 40,16,644,40.2,4m 17s,3m 13s,2m 34s
Jeremiah 41,18,589,32.7,3m 55s,2m 56s,2m 21s
Jeremiah 42,22,713,32.4,4m 45s,3m 33s,2m 51s
Jeremiah 43,13,442,34.0,2m 56s,2m 12s,1m 46s
Jeremiah 44,30,1171,39.0,7m 48s,5m 51s,4m 41s
Jeremiah 45,5,151,30.2,1m 0s,0m 45s,0m 36s
Jeremiah 46,28,769,27.5,5m 7s,3m 50s,3m 4s
Jeremiah 47,7,203,29.0,1m 21s,1m 0s,0m 48s
Jeremiah 48,47,1105,23.5,7m 22s,5m 31s,4m 25s
Jeremiah 49,39,1110,28.5,7m 24s,5m 33s,4m 26s
Jeremiah 50,46,1366,29.7,9m 6s,6m 49s,5m 27s
Jeremiah 51,64,1753,27.4,11m 41s,8m 45s,7m 0s
Jeremiah 52,34,1024,30.1,6m 49s,5m 7s,4m 5s
Lamentations 1,22,730,33.2,4m 52s,3m 39s,2m 55s
Lamentations 2,22,824,37.5,5m 29s,4m 7s,3m 17s
Lamentations 3,66,842,12.8,5m 36s,4m 12s,3m 22s
Lamentations 4,22,560,25.5,3m 44s,2m 48s,2m 14s
Lamentations 5,22,297,13.5,1m 58s,1m 29s,1m 11s
Ezekiel 1,28,805,28.8,5m 22s,4m 1s,3m 13s
Ezekiel 2,10,272,27.2,1m 48s,1m 21s,1m 5s
Ezekiel 3,27,805,29.8,5m 22s,4m 1s,3m 13s
Ezekiel 4,17,501,29.5,3m 20s,2m 30s,2m 0s
Ezekiel 5,17,607,35.7,4m 2s,3m 2s,2m 25s
Ezekiel 6,14,438,31.3,2m 55s,2m 11s,1m 45s
Ezekiel 7,27,706,26.1,4m 42s,3m 31s,2m 49s
Ezekiel 8,18,621,34.5,4m 8s,3m 6s,2m 29s
Ezekiel 9,11,369,33.5,2m 27s,1m 50s,1m 28s
Ezekiel 10,22,616,28.0,4m 6s,3m 4s,2m 27s
Ezekiel 11,25,702,28.1,4m 40s,3m 30s,2m 48s
Ezekiel 12,28,789,28.2,5m 15s,3m 56s,3m 9s
