Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Leviticus 6,30,830,27.7,5m 32s,4m 9s,3m 19s
Leviticus 7,38,964,25.4,6m 25s,4m 49s,3m 51s
Leviticus 8,36,987,27.4,6m 34s,4m 56s,3m 56s
Leviticus 9,24,621,25.9,4m 8s,3m 6s,2m 29s
Leviticus 10,20,622,31.1,4m 8s,3m 6s,2m 29s
Leviticus 11,47,1035,22.0,6m 54s,5m 10s,4m 8s
Leviticus 12,8,245,30.6,1m 38s,1m 13s,0m 58s
Leviticus 13,59,1766,29.9,11m 46s,8m 49s,7m 3s
Leviticus 14,57,1631,28.6,10m 52s,8m 9s,6m 31s
Leviticus 15,33,897,27.2,5m 58s,4m 29s,3m 35s
Leviticus 16,34,1121,33.0,7m 28s,5m 36s,4m 29s
Leviticus 17,16,526,32.9,3m 30s,2m 37s,2m 6s
Leviticus 18,30,648,21.6,4m 19s,3m 14s,2m 35s
Leviticus 19,37,909,24.6,6m 3s,4m 32s,3m 38s
Leviticus 20,27,791,29.3,5m 16s,3m 57s,3m 9s
Leviticus 21,24,571,23.8,3m 48s,2m 51s,2m 17s
Leviticus 22,33,862,26.1,5m 44s,4m 18s,3m 26s
Leviticus 23,44,1205,27.4,8m 2s,6m 1s,4m 49s
Leviticus 24,23,508,22.1,3m 23s,2m 32s,2m 1s
Leviticus 25,55,1430,26.0,9m 32s,7m 9s,5m 43s
Leviticus 26,46,1217,26.5,8m 6s,6m 5s,4m 52s
Leviticus 27,34,893,26.3,5m 57s,4m 27s,3m 34s
Numbers 1,54,1094,20.3,7m 17s,5m 28s,4m 22s
Numbers 2,34,590,17.4,3m 56s,2m 57s,2m 21s
Numbers 3,51,1162,22.8,7m 44s,5m 48s,4m 38s
Numbers 4,49,1281,26.1,8m 32s,6m 24s,5m 7s
Numbers 5,31,905,29.2,6m 2s,4m 31s,3m 37s
Numbers 6,27,731,27.1,4m 52s,3m 39s,2m 55s
Numbers 7,89,1871,21.0,12m 28s,9m 21s,7m 29s
Numbers 8,26,684,26.3,4m 33s,3m 25s,2m 44s
Numbers 9,23,677,29.4,4m 30s,3m 23s,2m 42s
Numbers 10,36,851,23.6,5m 40s,4m 15s,3m 24s
Numbers 11,35,1019,29.1,6m 47s,5m 5s,4m 4s
Numbers 12,16,365,22.8,2m 26s,1m 49s,1m 27s
Numbers 13,33,722,21.9,4m 48s,3m 36s,2m 53s
Numbers 14,45,1183,26.3,7m 53s,5m 54s,4m 43s
Numbers 15,41,1014,24.7,6m 45s,5m 4s,4m 3s
Numbers 16,50,1285,25.7,8m 34s,6m 25s,5m 8s
Numbers 17,13,309,23.8,2m 3s,1m 32s,1m 14s
Numbers 18,32,1044,32.6,6m 57s,5m 13s,4m 10s
Numbers 19,22,670,30.5,4m 28s,3m 21s,2m 40s
Numbers 20,29,768,26.5,5m 7s,3m 50s,3m 4s
Numbers 21,35,899,25.7,5m 59s,4m 29s,3m 35s
Numbers 22,41,1142,27.9,7m 36s,5m 42s,4m 34s
Numbers 23,30,729,24.3,4m 51s,3m 38s,2m 54s
Numbers 24,25,614,24.6,4m 5s,3m 4s,2m 27s
Numbers 25,18,442,24.6,2m 56s,2m 12s,1m 46s
Numbers 26,65,1295,19.9,8m 38s,6m 28s,5m 10s
Numbers 27,23,570,24.8,3m 48s,2m 51s,2m 16s
Numbers 28,31,740,23.9,4m 56s,3m 42s,2m 57s
Numbers 29,40,894,22.4,5m 57s,4m 28s,3m 34s
Numbers 30,16,493,30.8,3m 17s,2m 27s,1m 58s
Numbers 31,54,1077,19.9,7m 10s,5m 23s,4m 18s
Numbers 32,42,1008,24.0,6m 43s,5m 2s,4m 1s
Numbers 33,56,950,17.0,6m 20s,4m 45s,3m 48s
Numbers 34,29,587,20.2,3m 54s,2m 56s,2m 20s
Numbers 35,34,946,27.8,6m 18s,4m 43s,3m 47s
Numbers 36,13,432,33.2,2m 52s,2m 9s,1m 43s
Deuteronomy 1,46,1236,26.9,8m 14s,6m 10s,4m 56s
Deuteronomy 2,37,1017,27.5,6m 46s,5m 5s,4m 4s
Deuteronomy 3,29,837,28.9,5m 34s,4m 11s,3m 20s
Deuteronomy 4,49,1498,30.6,9m 59s,7m 29s,5m 59s
Deuteronomy 5,33,910,27.6,6m 4s,4m 33s,3m 38s
Deuteronomy 6,25,652,26.1,4m 20s,3m 15s,2m 36s
Deuteronomy 7,26,834,32.1,5m 33s,4m 10s,3m 20s
Deuteronomy 8,20,551,27.6,3m 40s,2m 45s,2m 12s
Deuteronomy 9,29,958,33.0,6m 23s,4m 47s,3m 49s
Deuteronomy 10,22,589,26.8,3m 55s,2m 56s,2m 21s
Deuteronomy 11,32,925,28.9,6m 10s,4m 37s,3m 42s
Deuteronomy 12,32,1042,32.6,6m 56s,5m 12s,4m 10s
Deuteronomy 13,18,591,32.8,3m 56s,2m 57s,2m 21s
Deuteronomy 14,29,659,22.7,4m 23s,3m 17s,2m 38s
Deuteronomy 15,23,682,29.7,4m 32s,3m 24s,2m 43s
Deuteronomy 16,22,702,31.9,4m 40s,3m 30s,2m 48s
Deuteronomy 17,20,699,35.0,4m 39s,3m 29s,2m 47s
Deuteronomy 18,22,580,26.4,3m 52s,2m 54s,2m 19s
Deuteronomy 19,21,585,27.9,3m 54s,2m 55s,2m 20s
Deuteronomy 20,20,615,30.8,4m 5s,3m 4s,2m 27s
Deuteronomy 21,23,718,31.2,4m 47s,3m 35s,2m 52s
Deuteronomy 22,30,868,28.9,5m 47s,4m 20s,3m 28s
Deuteronomy 23,25,655,26.2,4m 22s,3m 16s,2m 37s
Deuteronomy 24,22,662,30.1,4m 24s,3m 18s,2m 38s
Deuteronomy 25,19,556,29.3,3m 42s,2m 46s,2m 13s
Deuteronomy 26,19,658,34.6,4m 23s,3m 17s,2m 37s
Deuteronomy 27,26,580,22.3,3m 52s,2m 54s,2m 19s
Deuteronomy 28,68,1987,29.2,13m 14s,9m 56s,7m 56s
Deuteronomy 29,29,824,28.4,5m 29s,4m 7s,3m 17s
Deuteronomy 30,20,640,32.0,4m 16s,3m 12s,2m 33s
Deuteronomy 31,30,1000,33.3,6m 40s,5m 0s,4m 0s
Deuteronomy 32,52,1269,24.4,8m 27s,6m 20s,5m 4s
Deuteronomy 33,29,722,24.9,4m 48s,3m 36s,2m 53s
Deuteronomy 34,12,317,26.4,2m 6s,1m 35s,1m 16s
Joshua 1,18,558,31.0,3m 43s,2m 47s,2m 13s
Joshua 2,24,750,31.2,5m 0s,3m 45s,3m 0s
Joshua 3,17,547,32.2,3m 38s,2m 44s,2m 11s
Joshua 4,24,670,27.9,4m 28s,3m 21s,2m 40s
Joshua 5,15,537,35.8,3m 34s,2m 41s,2m 8s
Joshua 6,27,881,32.6,5m 52s,4m 24s,3m 31s
Joshua 7,26,888,34.2,5m 55s,4m 26s,3m 33s
Joshua 8,35,1151,32.9,7m 40s,5m 45s,4m 36s
Joshua 9,27,768,28.4,5m 7s,3m 50s,3m 4s
Joshua 10,43,1345,31.3,8m 58s,6m 43s,5m 22s
Joshua 11,23,686,29.8,4m 34s,3m 25s,2m 44s
Joshua 12,24,470,19.6,3m 8s,2m 21s,1m 52s
Joshua 13,33,840,25.5,5m 36s,4m 12s,3m 21s
Joshua 14,15,464,30.9,3m 5s,2m 19s,1m 51s
Joshua 15,63,898,14.3,5m 59s,4m 29s,3m 35s
Joshua 16,10,254,25.4,1m 41s,1m 16s,1m 0s
Joshua 17,18,615,34.2,4m 5s,3m 4s,2m 27s
Joshua 18,28,742,26.5,4m 56s,3m 42s,2m 58s
Joshua 19,51,847,16.6,5m 38s,4m 14s,3m 23s
Joshua 20,9,300,33.3,2m 0s,1m 30s,1m 12s
Joshua 21,45,937,20.8,6m 14s,4m 41s,3m 44s
Joshua 22,34,1293,38.0,8m 37s,6m 27s,5m 10s
Joshua 23,16,538,33.6,3m 35s,2m 41s,2m 9s
Joshua 24,33,1014,30.7,6m 45s,5m 4s,4m 3s
Judges 1,36,946,26.3,6m 18s,4m 43s,3m 47s
Judges 2,23,677,29.4,4m 30s,3m 23s,2m 42s
Judges 3,31,834,26.9,5m 33s,4m 10s,3m 20s
Judges 4,24,732,30.5,4m 52s,3m 39s,2m 55s
Judges 5,31,701,22.6,4m 40s,3m 30s,2m 48s
Judges 6,40,1283,32.1,8m 33s,6m 24s,5m 7s
Judges 7,25,902,36.1,6m 0s,4m 30s,3m 36s
Judges 8,35,968,27.7,6m 27s,4m 50s,3m 52s
Judges 9,57,1580,27.7,10m 32s,7m 54s,6m 19s
Judges 10,18,457,25.4,3m 2s,2m 17s,1m 49s
Judges 11,40,1175,29.4,7m 50s,5m 52s,4m 42s
Judges 12,15,384,25.6,2m 33s,1m 55s,1m 32s
Judges 13,25,733,29.3,4m 53s,3m 39s,2m 55s
Judges 14,20,680,34.0,4m 32s,3m 24s,2m 43s
Judges 15,20,636,31.8,4m 14s,3m 10s,2m 32s
Judges 16,31,1102,35.5,7m 20s,5m 30s,4m 24s
Judges 17,13,387,29.8,2m 34s,1m 56s,1m 32s
Judges 18,31,1009,32.5,6m 43s,5m 2s,4m 2s
